State,County_Name,2005_Poverty_All_Ages,2005_Poverty_Percent_All_Ages,2005_Poverty_Under18,2005_Poverty_Percent_Under18,2005_Median_HH_Income
TX,Wharton County,"6,486",16,"2,442",21.9,"35,593"
TX,Wheeler County,654,14,205,18.8,"37,203"
TX,Wichita County,"16,650",14.6,"6,308",20.4,"38,532"
TX,Wilbarger County,"2,389",18.1,"1,006",28.1,"31,507"
TX,Willacy County,"7,357",38.2,"3,220",52.1,"24,186"
TX,Williamson County,"19,663",6,"7,563",8.2,"63,397"
TX,Wilson County,"4,330",11.8,"1,606",16.8,"45,624"
TX,Winkler County,"1,207",18.5,444,24.4,"34,357"
TX,Wise County,"5,891",10.7,"2,224",15.7,"49,495"
TX,Wood County,"6,693",17.1,"2,207",26.4,"35,166"
TX,Yoakum County,"1,300",17.7,505,23.1,"37,876"
TX,Young County,"2,996",17.1,"1,074",25.6,"34,532"
TX,Zapata County,"4,551",34.2,"2,115",48.7,"23,484"
TX,Zavala County,"4,293",37.6,"1,841",49.5,"19,283"
UT,Utah,"254,761",10.5,"85,446",11.7,"48,155"
UT,Beaver County,622,10.4,254,13,"38,822"
UT,Box Elder County,"3,250",7.1,"1,377",9.5,"50,231"
UT,Cache County,"14,090",14.9,"3,753",13,"41,879"
UT,Carbon County,"2,845",15.1,929,18.6,"38,203"
UT,Daggett County,60,6.9,14,7.3,"36,021"
UT,Davis County,"16,315",6.2,"5,820",6.9,"57,492"
UT,Duchesne County,"2,210",14.7,898,18.4,"42,144"
UT,Emery County,"1,388",13.1,520,16.4,"42,219"
UT,Garfield County,435,10,185,14.7,"38,751"
UT,Grand County,"1,406",16.3,480,24,"34,901"
UT,Iron County,"5,758",15.4,"1,963",17.8,"37,624"
UT,Juab County,949,10.6,416,13.7,"42,287"
UT,Kane County,635,10.4,232,15.4,"37,395"
UT,Millard County,"1,609",13.3,642,16.6,"40,555"
UT,Morgan County,388,4.9,133,5.7,"58,451"
UT,Piute County,230,17.1,92,26.8,"32,862"
UT,Rich County,202,10,75,12.9,"45,335"
UT,Salt Lake County,"92,956",10,"31,673",11.8,"48,398"
UT,San Juan County,"4,498",32.5,"1,762",37.2,"29,852"
UT,Sanpete County,"3,538",15.8,"1,228",17.4,"36,281"
UT,Sevier County,"2,393",12.7,953,16.5,"38,447"
UT,Summit County,"1,959",5.6,646,7.3,"73,572"
UT,Tooele County,"3,729",7.5,"1,378",8.6,"52,937"
UT,Uintah County,"3,564",13.4,"1,318",16.8,"42,836"
UT,Utah County,"53,187",12.3,"14,376",9.9,"47,718"
UT,Wasatch County,"1,342",7.1,533,9.3,"54,340"
UT,Washington County,"12,190",10.4,"4,847",14.8,"43,566"
UT,Wayne County,335,13.7,144,20,"34,733"
UT,Weber County,"22,677",10.9,"8,803",14.5,"48,998"
VT,Vermont,"62,748",10.4,"16,690",12.8,"45,695"
VT,Addison County,"3,311",9.7,827,10.7,"50,077"
VT,Bennington County,"3,818",10.7,"1,185",15.7,"43,020"
VT,Caledonia County,"4,204",14.3,"1,179",18.3,"36,480"
VT,Chittenden County,"14,785",10.4,"3,253",10.3,"53,758"
VT,Essex County,866,13.2,272,19.9,"33,811"
VT,Franklin County,"4,937",10.5,"1,605",13.6,"45,282"
VT,Grand Isle County,590,7.7,168,10.8,"50,147"
VT,Lamoille County,"2,576",10.8,689,13.3,"44,661"
VT,Orange County,"2,628",9.2,811,13.1,"44,276"
VT,Orleans County,"3,687",13.7,"1,115",19.3,"36,638"
VT,Rutland County,"6,905",11.2,"1,980",15.6,"39,736"
VT,Washington County,"4,880",8.5,"1,191",9.8,"45,467"
VT,Windham County,"4,577",10.7,"1,282",14.2,"42,371"
VT,Windsor County,"4,982",8.7,"1,132",9.9,"46,405"
VA,Virginia,"728,858",10,"237,858",13.3,"54,207"
VA,Accomack County,"7,044",18.3,"2,347",26.4,"32,837"
VA,Albemarle County,"5,872",7,"1,561",7.9,"58,620"
VA,Alleghany County,"1,875",11.6,589,16.9,"39,204"
VA,Amelia County,"1,198",9.9,372,13.4,"46,320"
VA,Amherst County,"3,615",12,"1,104",16.3,"40,673"
VA,Appomattox County,"1,660",12.1,553,17.6,"39,199"
VA,Arlington County,"14,781",7.7,"3,308",9.6,"76,196"
VA,Augusta County,"4,997",7.4,"1,449",9.7,"46,202"
VA,Bath County,362,7.7,89,10,"39,464"
VA,Bedford County,"5,040",7.8,"1,436",10.1,"49,812"
VA,Bland County,846,13.5,204,16.9,"35,057"
VA,Botetourt County,"1,925",6.1,493,7.4,"53,003"
VA,Brunswick County,"3,001",20.1,828,24.5,"33,109"
VA,Buchanan County,"6,221",26.6,"1,593",34.5,"25,193"
VA,Buckingham County,"2,859",20.8,771,24.5,"33,084"
VA,Campbell County,"5,770",11.2,"1,823",15.4,"40,230"
VA,Caroline County,"2,472",9.9,862,14.6,"45,687"
VA,Carroll County,"4,720",16.4,"1,357",23.1,"32,430"
VA,Charles City County,772,10.9,201,14.9,"46,167"
VA,Charlotte County,"2,097",17.4,662,23.5,"31,915"
VA,Chesterfield County,"18,154",6.4,"6,275",8.5,"66,625"
VA,Clarke County,917,6.6,238,7.9,"59,270"
VA,Craig County,531,10.4,173,15.3,"40,858"
VA,Culpeper County,"3,722",9.1,"1,114",11.1,"52,889"
VA,Cumberland County,"1,502",16.1,532,24.6,"34,447"
VA,Dickenson County,"3,664",22.8,982,30,"26,224"
VA,Dinwiddie County,"2,499",10.2,779,13.9,"48,160"
VA,Essex County,"1,291",12.6,463,20.8,"38,588"
VA,Fairfax County,"50,621",5.1,"16,317",6.4,"94,173"
VA,Fauquier County,"3,360",5.2,948,6,"73,288"
VA,Floyd County,"1,788",12.3,492,16,"37,659"
VA,Fluvanna County,"1,834",7.8,615,10.9,"52,733"
VA,Franklin County,"5,187",10.5,"1,690",16.1,"40,712"
VA,Frederick County,"4,429",6.5,"1,314",7.9,"57,835"
VA,Giles County,"2,068",12.2,600,16.3,"37,582"
VA,Gloucester County,"3,292",8.8,"1,093",12.6,"48,281"
VA,Goochland County,"1,192",6.7,301,7.9,"69,975"
VA,Grayson County,"2,710",16.7,812,25.5,"30,348"
VA,Greene County,"1,369",8,518,11.1,"50,828"
VA,Greensville County,"1,615",19,395,20.2,"38,038"
VA,Halifax County,"5,506",15.6,"1,721",21.1,"32,334"
VA,Hanover County,"4,542",4.8,"1,286",5.5,"71,455"
VA,Henrico County,"21,858",7.9,"7,048",10.3,"55,284"
VA,Henry County,"8,204",14.7,"2,617",22.1,"32,240"
VA,Highland County,316,12.8,73,17.3,"34,519"
VA,Isle of Wight County,"2,842",8.6,862,11.4,"53,754"
VA,James City County,"3,445",6.1,947,8.1,"65,681"
VA,King and Queen County,905,13.4,251,17.6,"39,612"
VA,King George County,"1,259",6.2,438,8.3,"65,669"
